鄉鎮市區,交易標的,建物型態,主要用途,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,單價元平方公尺,車位類別,電梯,公設比,屋齡,豪宅,面積大小,移轉層次_數字,總樓層數_數字,移轉層次_級距
北投區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),商業用,100.72,3,2,4,1,19800000,292625,坡道平面,1,0.5879,16.7260274,0,中,1,23,一到五層
北投區,房地(土地+建物),華廈(10層含以下有電梯),住家用,133.79,3,2,2,1,23800000,177891,無車位,1,0,48.83013699,0,中,4,8,一到五層
士林區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,100.72,3,2,2,0,17000000,168785,無車位,0,0,43.42191781,0,中,4,5,一到五層
文山區,房地(土地+建物)+車位,華廈(10層含以下有電梯),住家用,141.45,3,2,2,1,25800000,182397,坡道平面,1,0.3277,29.77534247,0,中,2,6,一到五層
文山區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,32.31,1,1,1,1,10800000,334262,無車位,1,0.3278,9.150684932,0,小,3,12,一到五層
中山區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,116.34,3,2,2,0,27300000,234657,無車位,0,0.0273,37.77534247,0,中,4,5,一到五層
中山區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,72.28,2,1,1,1,23150000,320282,無車位,1,0.35,0.621917808,0,中,4,13,一到五層
中山區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,32.5,1,1,1,1,9900000,304615,無車位,1,0.1834,35.08493151,0,小,9,12,六到十層
內湖區,房地(土地+建物),華廈(10層含以下有電梯),住家用,100.51,3,2,1,1,20500000,203960,無車位,1,0.255,40.5369863,0,中,2,7,一到五層
中山區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,52.18,1,1,1,1,9450000,181104,無車位,1,0.2001,46.96164384,0,小,10,12,六到十層
信義區,房地(土地+建物)+車位,華廈(10層含以下有電梯),住家用,145.49,2,2,2,1,33880000,232868,坡道平面,1,0.527,6.917808219,0,中,7,10,六到十層
士林區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,85.98,2,2,1,0,10750000,125029,無車位,0,0.0286,41.06575342,0,中,4,5,一到五層
